parent_tweet,reply_tweet
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A","@RT_com Extremism and Terrorism has no place in Islam #ParisAttack https://t.co/CukDPguk0U 
http://t.co/0m0hV86weU"
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A","#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A"
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU","“@TIME: Paris Murder Suspects Cornered with Hostage
http://t.co/p0hSDtEUyG”arrest the criminals and rescue the hostages please"
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU","Paris Murder Suspects Cornered with Hostage
http://t.co/yzHJi4Hw54"
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,Report: #Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://t.co/Mck8FYYOpp
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@LisaBloom that's what I thought too... http://t.co/SALT2ztcEq
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2",to be clear: an unarmed teenager POSSIBLY stealing a box of cigars does not warrant being shot to death by the police. #Ferguson
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2","Which is an insult to the Three Stooges, but I agree with your point hundred percent.@ronzell3284 
@SoulRevision"
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,"@WSJ This, and their militaristic approach to the problem, does not paint the Fergie PD in a favorable light"
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,@WSJ How is robbery define by state law? Where are the reports from the shooting? Why no ambulance? #ferguson #foi
"#Germanwings ""sorry to confirm"" 144 passengers &amp; 6 crew on board flight #4U9525 when it crashed in French Alps http://t.co/inQlKOqZup",BREAKING: 148 feared dead in crashed #Germanwings flight http://t.co/bnEGQsxBFL
"#Germanwings ""sorry to confirm"" 144 passengers &amp; 6 crew on board flight #4U9525 when it crashed in French Alps http://t.co/inQlKOqZup",MT “@BBCBreaking: #Germanwings: 144 passengers &amp; 6 crew on board flight #4U9525 when it crashed in French Alps http://t.co/0lLhzfIr4l”
"#Germanwings latest: http://t.co/8tZopIBYLh
- #Airbus A320 crashes in French Alps
- Barcelona-to-Dusseldorf flight
- 142 passengers &amp; 6 crew",@BBCBreaking https://t.co/u0P5OaRm4k
#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr,"@volkz_20 @NBCNews Ohhh man, terrible news for all the victims' families!"
"#ISIS Media account posts picture claiming to be Michael Zehaf-Bibeau, dead #OttawaShooting suspect. #Canada http://t.co/kWam0E4tyX",These are not timid colours; soldiers back guarding Tomb of Unknown Soldier after today's shooting #StandforCanada http://t.co/7KoW2xATKG
#MikeBrown wanted to walk down the street. And he is dead. And the #Ferguson PD is using his silence in death to make him a criminal.,"Police reports released this morning indicate Mike Brown was a suspect in a ""strong-armed"" robbery in #Ferguson"
#NHL cancels tonight's game between #Ottawa and #Toronto due to today's shootings. Senators were to host Maple Leafs.,Statement from Ottawa Hospital: received 3 patients. 2 in stable condition. http://t.co/zu5hYPrGDL
#NHL cancels tonight's game between #Ottawa and #Toronto due to today's shootings. Senators were to host Maple Leafs.,"@CBCAlerts game postponed, not cancelled."
#NHL cancels tonight's game between #Ottawa and #Toronto due to today's shootings. Senators were to host Maple Leafs.,@CBCAlerts this was the right thing to do
#pmharper tweets 'Canada's thoughts and prayers are with our Australian friends.' 13-40 hostages held in cafe in #Sydney. #SydneySiege,Police stand guard as hostages are held in a cafe in Sydney. Follow AFP's LIVE REPORT: http://t.co/yKWnSmShSY http://t.co/wyjunPbDfo
"#RCMP to hold news conference on #Ottawa shootings at 2 pm ET, 11 am PT. Watch live coverage @ http://t.co/kngapKTSCe",#NHL cancels tonight's game between #Ottawa and #Toronto due to today's shootings. Senators were to host Maple Leafs.
"#RIPNathanCirillo

RT @globeandmail: Soldier killed at war memorial identified as Cpl. Nathan Cirillo #OttawaShooting http://t.co/uZZqmlctss","#ISIS Media account posts picture claiming to be Michael Zehaf-Bibeau, dead #OttawaShooting suspect. #Canada http://t.co/kWam0E4tyX"
"#RIPNathanCirillo

RT @globeandmail: Soldier killed at war memorial identified as Cpl. Nathan Cirillo #OttawaShooting http://t.co/uZZqmlctss","“@Cameron_Gray: #RIPNathanCirillo
: Soldier killed at war memorial identified as Cpl. Nathan Cirillo #OttawaShooting http://t.co/QBkduHjIbe”"
"#sydneysiege is over. 2 confirmed dead, #PrayForSydney #PrayForSydneyHostages #Sydney #hostages",#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.
"#SYDNEYSIEGE: Hostage-takers ‘have suicide belts, demand radio convo with #Abbott’ – report http://t.co/1ZlzKDjvSf http://t.co/7Jej7i4SlO","Uber says it has hiked prices in Sydney to ""encourage more drivers to come online &amp; pick up passengers."" http://t.co/MCJ0rMSXPc #SydneySiege"
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO","Police seem relaxed, suggesting all hostages are out and gunman no longer a threat http://t.co/xheuclMCmj #sydneysiege"
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO",@FoxNews Hope they smoked that Isis dickhead
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO","“@FoxNews: #SydneySiege: watch live Latest video of hostages escaping.
https://t.co/gWxw46Fy20”"
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO",@carl_krus @FoxNews Hust saw the flash but Sydney dominating the reports right now
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO","Unreal. Like a scene out of a movie/video game. RT “@FoxNews: #SydneySiege: Latest video of hostages escaping.
https://t.co/sb4FFsrBkL”"
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO",@FoxNews @AmericaNewsroom Illegal Aliens will kill 25 US Citizens today in the USA and Fox will report on NONE of them: Obama thanks you....
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO","“@LandODaFree: Unreal. Like  a movie “@FoxNews: #SydneySiege: Latest video of hostages escaping.
https://t.co/cwC3Rv37Ze”” @ClauCaviedes"
***EXCLUSIVE*** Michael Zahaf-Bibeau caught on a #DASHCAM model sold at http://t.co/62s1bT3ecH #OttawaShooting http://t.co/LpnqAKsHZw,"The Canadian soldier killed in today's Ottawa shooting is Cpl. Nathan Cirillo, a family source told CNN. Live blog: http://t.co/D58rrFrbwq"
***EXCLUSIVE*** Michael Zahaf-Bibeau caught on a #DASHCAM model sold at http://t.co/62s1bT3ecH #OttawaShooting http://t.co/LpnqAKsHZw,@AdamGuerbuez followed you because of this
*Mutes Universe*,@BklynMiddleton u r among the only journalists saying kosher market &amp; not calling it something generic. If it's kosher it was targeted. Thx
".@AP I demand you retract the lie that people in #Ferguson were shouting ""kill the police"", local reporting has refuted your ugly racism",Witness: Police allegedly stopped Mike Brown after yelling at him to walk on sidewalk. #Ferguson http://t.co/XG00R6w0k6
.@iGottaTravel @Uber_Sydney @mtats Seems. A global marketing disaster Uber is trying to fix.,"@JonnyPut @Uber_Sydney for the transport service I don't run? Excellent point sir. If they wanted to save money, they should've kept quiet."
".@marrty96 -SO SAVE ME THE FUCKING LECTURE, AND WHEN MY FELLOW TRIBE MEMBERS ARE BEING HELD HOSTAGE, DONT DARE TELL ME TO CALM DOWN.","@DAVIDMDRAIMAN @marrty96 agreed, its convenient they forgot to mention that detail."
".@Mr_Odin No, they presumed their customers weren't economic illiterates. They presumed wrong. @JonnyPut @Uber_Sydney @AndrewCrow",@el1nor Uber is covering the cost of all rides.
@_MarkSutcliffe are you inside PH? can we talk to you on Global News?,"Canada's Parliament Hill is on lockdown as police hunt shooting suspect; at least 1 injured - @CBCNews, @TorontoStar http://t.co/aF9HyT9BgX"
@1CParsons @thatjohn No 'Pan Pan' call is universal,@thatjohn @RAeSTimR Is that roughly equivalent to our 'Pan Pan' call it priority I assume?
@1drngju @aprilritchey my 11 yr old would outwit you moron. ..:) blocked,@Perseus009 @RT_com Does seem terribly convenient to Abbott's gov't.
@9NewsSyd @marilynmaupin Should have snipered him.,@9NewsSyd @charlescwcooke That would mean worst case: scumbag started shooting hostages and police responded. Hope that is not the case. 2/2
"@AkaDimiX @140elect Yeah, tell that to the 300 pound 6'4 dude who confronts you versus a 140 pound 5'2 30 yr old.",@DostoevskyShade @140elect trayvon was 17 when he got killed.  Legally a minor.
@amyminsky @GlobalNational 12:50am??,Canada's parliament building locked down after shooting; at least one guard injured: http://t.co/Nrsnlg2s04 Photo: AP http://t.co/qPXF4IF6aM
@andrewv @Uber_Sydney the surge rates are to draw the drivers there (uber will pay the cost). No fee to passengers.,@el1nor @Uber_Sydney Uber is.
@andybankertv @FOX2now Your post states theft.  What am I missing?,@SLEEZAVELLI @andybankertv @FOX2now Truer words have never been spoken.
"@AngryBlackLady Vacationing on the Bundy Ranch, I’d imagine.",@AngryBlackLady @BrookeObie In the U.S.A. world.
"@AnitaTeguh @BBCWorld @BBCNews 
And that time is now, they have brought it to us, they'll be sorry",@lhkahow @OZzSue @BBCWorld @BBCNews absolutely agree!!!
"@ap Little LATE on the ball, aren't you?",@AP Australian Govt language specialists defined these words as all-encompassing meaning any action perpetrated against Australian citizens
@aprilritchey when it started to appear on M$M the narrative was the same. ..Like say a Script..I mean 'goverMENt press release ..fishy..:(,"@aprilritchey @RT_com 

You are on crack mate. Complete bunk is what you're spreading."
@Asher_Wolf CNN too I have heard @tikikate @CBSThisMorning,. @tikikate has claimed @CBSThisMorning aired one of the hostage videos. #SydneySiege #MartinPlace
@BBCBreaking @CSWrite2Inspire,"@_icla_ @BBCBreaking This is sadly true...Support Israel, the apple of God's eye. #PJNET #CCOT #wakeupnow WORLD! #WakeUpAmerica John 3:16-17"
@BBCBreaking suggest you change 'martyr' themselves to 'kill themselves' in your TV news text - don't dignify them,@NickK60 @BBCBreaking well said! The media can help here.
@BBCBreaking The Religion of Peace I am guessing.,@BBCBreaking @TheMattB81 this is crazy...
@BBCBreaking You telling me that in a 40km motorway car chase involving a Peugeot 206 they couldn't be taken out?? Pathetic!!!,@BBCBreaking https://t.co/rV2w5SDray
@BBCWorld @Glinner who could be doing this? And why? Don't expect bbc to tell you,@Does_It_Mata @BBCWorld Like I said it's directly across from a big news channel.
@BBCWorld Just add the fact that they're holding a Isis flag for fuck sake,@julia_goo_lia @Howie_Dee @BBCWorld true. Seems it's well executed
@BlueTieBloke #Islamanausea,@SkyNewsAust so its not an IS flag - must be a peaceful Islamic extremist group then!
@bmac_ottawa @Uber_Sydney Ah that makes sense then thanks,@Uber_Sydney @COMINT_AU http://t.co/gHvtKoE8nR
@BreakingNews @CBCNews @TorontoStar So Canada's strict gun control policies have failed,Snipers set up on National Art Gallery as we remain barricaded in Centre Block on Parliament Hill #cdnpoli. http://t.co/lWKaxLI9jO
@BreakingNews @CBCNews @TorontoStar So Canada's strict gun control policies have failed,@BreakingNews @CBCNews @TorontoStar So Canada's strict gun control policies have failed
@breakingnews For Only $9 You Can Buy 3K Followers http://t.co/XQiCCTJWOe,#BREAKING Reports two customers and an employee have escaped the #SydneySiege http://t.co/fSLeobzxHh
@BreakingNews ISIS flag also shown! These sub-humans kept their word! #religionofpeace#  they murder rape bomb all non believers of allah!,@BreakingNews @abcnews
"@BrwnSkinGirly @CNNVideo even going extreme length to hire an actor that looks like Michael brown! Not saying murder was justified, it's not","@BrwnSkinGirly @CNNVideo even going extreme length to hire an actor that looks like Michael brown! Not saying murder was justified, it's not"
@BrwnSkinGirly @CNNVideo he robbed swishers supposedly,@BrwnSkinGirly @CNNVideo he robbed swishers supposedly
"@BrwnSkinGirly @CNNVideo that being said, even if he committed the most awful crime on planet earth, he DID surrender. No reason to be shot.","@PublicOffendor @CNNVideo did I say it was fake u , are u stupid or dumb? I said why show it now... 😒"
@BrwnSkinGirly @CNNVideo yeah they faked the video LOL@your racist denial,"@BrwnSkinGirly the cop didnt know he was un armed he could have pulled out a gun and killed him, if he tazed him he could shot the cop."
"@BrwnSkinGirly So if someone was coming at you and beating the fuck out of you threating your life, you wouldnt shoot them if you could?","@BrwnSkinGirly @CNNVideo thats not what i was referring to, i was just saying it doesnt have to be money to be a robbery"
"@BrwnSkinGirly stepped in the wrong part of town, but just because cop shot someone its bad. get over it.",@Jason__G99 @KoszikMeows @CNNVideo exactly
"@BuzzFeedOz @DaddyJim52 @cberkman 
The cost of terrorism, NUKE IRAN TO HELP STOP THIS.","RT @BuzzFeedOz: Sydney Opera House evacuated, concourse deserted http://t.co/WKGomJjW6y #SydneySiege (via @cberkman) http://t.co/R2vkWqrcuN”"
@BuzzFeedOz @TFG411 @cberkman My heart and prayers go out to the good people of Sydney and Australia. 🇺🇸 #nyc,"“@BuzzFeedOz: Sydney Opera House evacuated, concourse deserted http://t.co/73enod6usF #SydneySiege (via @cberkman) http://t.co/vy8Ae746vg” 😨"
"@CBCAlerts @CBCNews , well blame Steven Harper , he's all for guns , wants this country to become like the US of A",@CBCAlerts reporting soldier shot in Ottawa. Very sad news.
@CBCAlerts @Finlaure13 Oh no! :(,@PrideSky @CBCAlerts The tragedy is that we are allowing these people in to our country. Don't know what the hell you're talking about!!
@CBCAlerts That's two terrorist attacks under Harper and counting!,"#BREAKING Rick Hughes at CBC Hamilton: 

The soldier who was shot in Ottawa Wednesday morning is a reservist serving in Hamilton"
@CBSNews Your info is out of date. Rideau shooting didn't happen. Police press conference says nothing about number of shooters.,RT @CBSNews: Police believe 3 gunmen were involved in shootings in Ottawa and are looking for two shooters. http://t.co/ezPjE4zAcW
@clydetheslyde @mylifeishid #MikeBrown would need to be shot in #Benghazi  for #foxnews to cover it,@clydetheslyde @Madaza41 I remember the same type of coverage when we invaded Iraq. Boots on the ground?  Cont...
@cnnbrk Thank goodness! Is it possible for this to end with no more innocent lives lost?,“@cnnbrk: Police taking people out of #Paris grocery where hostages were being held. http://t.co/9iGxZtbjo2
@cnnbrk why tweets not in English,@cnnbrk you've been late on this story all day..
@cnni For Only $9 You Can Buy 3K Followers http://t.co/XQiCCTJWOe,"Local media: 3 people appear to escape from Martin Place, Sydney, café, amid hostage situation - @ABCNews http://t.co/N5mmnilz4Z"
@cnni just send em a Bart Simson flag w/the👉middle finger and a bullet,"“@cnni: Hostage taker in Sydney cafe demands ISIS flag and call with Australian PM, Sky News reports. http://t.co/mRghqDBf50 #sydneysiege”"
@cnni the headlesschookìmpersonatingghekowithnotail gotaway oh unlesthecatateit anyway im stil last withonly 5beetles,@cnni curly wurlys are so much nicer than half avocados dont u think?
@CNNVideo oh please CNN cut the bullshit😒😒 them dirty ass cops will say anything,@BrwnSkinGirly @CNNVideo yeah they faked the video LOL@your racist denial
@CNNVideo wheres the money if he robbed the place looks like a soda in that persons hand😴😴😴😴,@kingpin7666 @CNNVideo smh
"@col_livesey @BasimaFaysal @SkyNewsAust 
It is according to this terrorism expert
http://t.co/vQZimbYwXO","@col_livesey @BasimaFaysal @SkyNewsAust 
It is according to this terrorism expert
http://t.co/vQZimbYwXO"
@Colvinius @MartinRJay Nothing justifies this horrendous crime but why always mess with Islam?? Zillion things out there to make fun of,@Red4Mira @MartinRJay See my previous tweets. That's what Charlie Hebdo does. Latest cover savages an ANTI-Muslim writer - and Jesus.
"@Colvinius @meadea @LePoint I hate this. I hate that artists, journalists and funny people are killed in hate's name.",@nancysaidboo @Colvinius @LePoint me too.
@CTVNews WHY??? its not their country,MORE: Police believe three gunmen were involved in shootings in Ottawa this morning and are looking for two shooters. http://t.co/IHV4galEtC
@CTVNews WHY??? its not their country,"@PC_Consult39 because it is a possible terrorist threat that could expand into the US, and they are our closest (literally) allies."
@Cultiv8Hope @ABC @VeraSweeney the 1st has been on for 7h30 and the second for 4hrs,@Cultiv8Hope @ABC @VeraSweeney the 1st has been on for 7h30 and the second for 4hrs
"@DanteB4u @KatEdmiston There's no spin, cops blew it from day one by not releasing shooter's name! Trying to control the narrative w/lies👎🚫.","@DanteB4u You're right! Police said fight started after cop told Michael to get out of street, walk on sidewalk! He was never a suspect!"
