parent_tweet,reply_tweet
@ShirazMaher @NickKristof It is a separate incident but the same #terrorist cell?,@ShirazMaher @NickKristof It is a separate incident but the same #terrorist cell?
"@skobos Will both fit on the lower thirds? I would appreciate name, then handle.",@Henderburn Will do! Would you Prefer your name or your handle?
"@skobos Yeah, sure. Please credit me though.",@Henderburn I'm a Photo Editor @ ABC- Would you be willing to share this with all ABC News platforms and with partners if we credit?
@SkyNews Just shoot him! Marksman have clearly had enough opportunities to do so,@BrigadierSlog @tikikate @CBSThisMorning heard via whom?
"@smallthunderdog @cpjskippy @Independent 
a provocation is an open invitation !!","I'm in London right now, feel free to make an appointment @RajaChemayel @cpjskippy @Independent"
@SoulRevision wait.....what???!!!,@SoulRevision wait.....what???!!!
"@tdgecas @Henderburn Getting the word out about an active shooter situation seems pretty helpful, but please, tell us what you'd have done.","@tdgecas @Henderburn Getting the word out about an active shooter situation seems pretty helpful, but please, tell us what you'd have done."
"@TexasJew Again, so far as I can tell, they were worried about explosives, and it appears there was an explosion.","@TexasJew Again, so far as I can tell, they were worried about explosives, and it appears there was an explosion."
@thatjohn @RunwayGirl They made that call in French?,@thatjohn @planefinder why would they say urgence in lieu of mayday which is standard ?
@thei100 @Independent your readers love Muslim multiculturalism so they can look forward to this in the UK soon.,@WilliamDFoster9 @thei100 @Independent don't.
"@Tom_sveb @flavius217 I blocked him, so you can leave me off the tweets. I won't see them, gives you more characters.","@Tom_sveb @flavius217 I blocked him, so you can leave me off the tweets. I won't see them, gives you more characters."
@Tom_sveb @spants @rui_xu @flavius217 If he was shot in the back he was running away but shot in the chest he could have been charging.,@spants @Tom_sveb @rui_xu @flavius217 Has that info came out yet?
@Tom_sveb @spants @rui_xu @flavius217 No that you see this as a racial situation before you know anything.,@jlpauk @Tom_sveb @rui_xu @flavius217 What? No it isn't. There is definitely no justification for deadly force once he was running.
@Tom_sveb @spants @rui_xu @flavius217 No that you see this as a racial situation before you know anything.,"@jlpauk @spants @rui_xu @flavius217 in your world, it's cool to shoot unarmed people in the chest, but not the back? Or vice versa?"
@Tom_sveb @spants @rui_xu @flavius217 Was he shot in the chest or back? From 35' away or 3' away? Which wounds came first?,@Tom_sveb @spants @rui_xu @flavius217 Was he shot in the chest or back? From 35' away or 3' away? Which wounds came first?
@Tom_sveb @spants @rui_xu @flavius217 What other info do they have ready to release? All they have said is this is why we approached him.,@jlpauk @Tom_sveb @rui_xu @flavius217 Why wasn't Dorian Johnson arrested if he was suspected of a robbery?
"@tomman191 @andybankertv @FOX2now Hey everybody, @tomman1 robbed a store. Can they shoot you down? Can I say that after they shoot you down?",@lilfer1234 @SLEEZAVELLI @andybankertv @FOX2now whose mike smith ?
"@tomman191 @andybankertv @FOX2now Hey everybody, @tomman1 robbed a store. Can they shoot you down? Can I say that after they shoot you down?","@andybankertv @FOX2now Thank you for clarifying.  You definitely didn't have to reply to me.  

Have a great day and thanks for the reports"
"@tomman191 @andybankertv @FOX2now Hey everybody, @tomman1 robbed a store. Can they shoot you down? Can I say that after they shoot you down?","@tomman191 @andybankertv @FOX2now So he took off his socks but did nothing else to change his appearance? Obliterated, lol"
"@TPM Wow. I thought a Tweep was being sarcastic, but...it really happened that way?!?","@TPM Wow. I thought a Tweep was being sarcastic, but...it really happened that way?!?"
@TracyMo53321503 @zadiaz @mashable you are saying that's mike brown in the picture? It's not. Two events unconnected. What's your point?,@4DawnMarie @mashable I'm looking for his read hat and his flip flops can you find them? http://t.co/9bVeE3q8Qk
@tsrosenberg @BklynMiddleton that's my mistake. Thanks!,@BklynMiddleton rather than being a 'lone-wolf copy-cat' the fact the attacker is so well-armed points to a far more worrying escalation.
@Uber_Sydney hikes prices during the #sydneysiege. How is that helping? Giving away free rides would help.,@Mr_Odin @Uber_Sydney What do you pay your drivers?
@Uber_Sydney So are rides free or more expensive? Your tweet is very unclear,@Uber_Sydney what do you define as CBD? Where does the boundary end?
@Uber_Sydney swarming because of a concert or event? Fine. Swarming during a hostage crisis? NOT COOL.,@Uber_Sydney So are rides free or more expensive? Your tweet is very unclear
"@Uber_Sydney Trying to get in contact, anyone at the phones?",@nicholasderoose Uber trips out of the CBD today are free to help Sydneysiders get home safely. See http://t.co/UIwoom25Bm
@universe93 @Uber_Sydney calm down its one cafe.,@Uber_Sydney what does this mean?
@vanemaya @NickKristof That's what the police are saying. I meant 'separate' as in different guys to the ones that did Charlie Hebdo attack.,@ShirazMaher @NickKristof Are moderate #Muslims protesting these acts of murder and violence?
"@vanemaya I think we don't have enough facts about the big picture right now (AQAP/ISIS etc), we'll need to wait and see  @NickKristof","@ShirazMaher Thank you, Shiraz. I understand. What do you each think about all this? What is your reaction? @NickKristof"
@veggietrunks @LisaBloom not necessarily. but it might show a particular disposition towards authority figures.,@leonlohr @LisaBloom But she's very good at instigating and baiting....just like her mother. Smh
@xSkylaStarx I could tell you but then I'd have to kill you. ;-),"@ArmedResearch Hi, can you tell me where  you got the picture?"
@YourAnonLive @OpFerguson no signatures?,@YourAnonLive @OpFerguson no signatures?
@YourAnonLive A robbery doesn't excuse an execution style murder I don't give a fuck what anyone says. Swisher Sweets aren't worth a life.,@YourAnonLive @OpFerguson No but it def softens the blow.
"@zadiaz @mashable YES, it was JUSTIFIED","@mashable umm wasn't Mike Brown wearing pants, and shoes?"
@zulubravo @Andrew_Denney @jessradio ah I see. The Shahadah having nothing to do with the Koran. Got you.,@Andrew_Denney @charlescwcooke @instapundit so we still not sure of the motivation for the attack?
"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525",@thatjohn what are the implications of this? @RAeSTimR
"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525",@thatjohn is that unusual?
"“?!?!? @JillKrajewski @LiveNationON: In response to inquiries, we can confirm that Prince will not be performing at @masseyhall tonight.”",@ROCKthusiast maybe tomorrow?
"“@AFP: #BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault”

Yes French police👊","@FridhKleberg @AFP If so that hostage will be the person best able to give an insight into the attack, if the suspects were responsible..."
"“@FoxNews: MORE: Police confirm 3 hostages escape Sydney cafe, unknown number remain http://t.co/Hq11La8bQ0 #Sydneysiege” #MartinPlace","“@FoxNews: MORE: Police confirm 3 hostages escape Sydney cafe, unknown number remain http://t.co/Hq11La8bQ0 #Sydneysiege” #MartinPlace"
"“@FoxNews: UPDATE: 13 people being held hostage in #Sydney shop, Opera House evacuated after suspicious package found: reports Are you sure?",@FoxNews only just decided to air this have you?? Jeez
“@TheSabber: @BrwnSkinGirly @CNNVideo he robbed swishers supposedly” smh,“@TheSabber: @BrwnSkinGirly @CNNVideo he robbed swishers supposedly” smh
“@usmc1872: @BrwnSkinGirly @CNNVideo what about the FBI”👀,“@usmc1872: @BrwnSkinGirly @CNNVideo what about the FBI”👀
"Accident aircraft looks to be Germanwings (Airline code 4U or GWI) flight 9525, Barcelona to Dusseldorf. #4U9525 http://t.co/TIZc1N1ZrK",@rConflictNews @sahla_sing what happened
"According to Seven, this is a picture of the gunman http://t.co/3Zor3gSOSO",What is wrong with you @SharriMarkson?
"According to Seven, this is a picture of the gunman http://t.co/3Zor3gSOSO",@SharriMarkson @australian dad?
"According to Seven, this is a picture of the gunman http://t.co/3Zor3gSOSO",@noplaceforsheep @SharriMarkson there is stupid and there is Markson's stupidity which is on another planet altogether
"AFP reports there are 2 dead, and 5 hostages being held in the Kosher store in Eastern Paris; separate incident to charlie hebdo shooters.",@ShirazMaher so what happen to the Charlie hebbdo suspects man news coverage is so shifty in this story
"AFP reports there are 2 dead, and 5 hostages being held in the Kosher store in Eastern Paris; separate incident to charlie hebdo shooters.","@cldaymon @intelwire @ShirazMaher Honestly, we need to wait official statement and investigations. By now, we all talk about rumors. :)"
"AFP reports there are 2 dead, and 5 hostages being held in the Kosher store in Eastern Paris; separate incident to charlie hebdo shooters.","@vanemaya I think we don't have enough facts about the big picture right now (AQAP/ISIS etc), we'll need to wait and see  @NickKristof"
AFP: suspected #CharlieHebdo gunmen have been killed,@SkyNewsBreak @UKlPVoter good  thats a start
BREAKING  @SkyBusiness: freed hostage borne high from #sydneysiege w/c.4 paramedic teams on the scene http://t.co/DKBQI5tx4B ( carsonscottLI,@RT_com @MatthiasMeisner Das nenne ich mal handfesten Sensationsjournalismus. Auch von RT. Could you please not annoy me with needless info?
BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn #cdnpoli http://t.co/38qOgXcuet,@RichardMadan any updates?
