parent_tweet,reply_tweet
"#BREAKING Rick Hughes at CBC Hamilton: 

The soldier who was shot in Ottawa Wednesday morning is a reservist serving in Hamilton",@cbcsaltzman @CBCNews  heartbreaking.
"#BREAKING Rick Hughes at CBC Hamilton: 

The soldier who was shot in Ottawa Wednesday morning is a reservist serving in Hamilton","@cbcsaltzman @mog7546 Well, what can you say? Spare a though for ALL who serve as reservists-they defend everyone's right to debate FREELY!"
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,@9NewsSyd THANK GOODNESS
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,@AusNewsNetwork 😖
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,@AusNewsNetwork @Eagle_Vision not good news....
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,“@AusNewsNetwork: #BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.” Please no
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,@AusNewsNetwork noooooo :(((
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,@AusNewsNetwork NOO..
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,@AusNewsNetwork @1000FormsOfGlen omg no
#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,"@PatOndabak 
Putin has gone 1 better
Behold the Russian secure office
Actor portrayed even
https://t.co/NUsIlGWg02"
#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,Forced to hold #ISIS flag? MT @SkyNewsAust: BREAKING: Hostages held &amp; siege taking place at #Sydney's Lindt Chocolat Cafe in Martin Place.
#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,@SkyNewsAust send your SAS in and fast
#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,“@SkyNewsAust: #BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.” @AngieTVLau
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,@Joyce_Karam @blackrepublican Guess what?  THESE are the type of individuals that 'waterboarding' intends to discover.  @nytimes @CBSNews
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,“@9NewsSyd: #BREAKING: Police have confirmed that the #SydneySiege is over. #9News” thank God 🙌🙏😭
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,@9NewsSyd good
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,“@9NewsSyd: #BREAKING: Police have confirmed that the #SydneySiege is over. #9News” Thank god... Shoutout to all the police that saved us
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,“@9NewsSyd: #BREAKING: Police have confirmed that the #SydneySiege is over. #9News”thank GOD
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,@9NewsSyd What a relief! Glad everyone is mostly ok!
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,"“@9NewsSyd: #BREAKING: Police have confirmed that the #SydneySiege is over. #9News” so glad to hear, this was unreal!"
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,“@9NewsSyd: #BREAKING: Police have confirmed that the #SydneySiege is over. #9News” best news
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,@9NewsSyd YES
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,"“@9NewsSyd: #BREAKING: Police have confirmed that the #SydneySiege is over. #9News” 👏👏 good job australia, hope they all are okay"
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,"“@9NewsSyd: #BREAKING: Police have confirmed that the #SydneySiege is over. #9News” I would not only like to thank God, but those policemen"
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,“@9NewsSyd: #BREAKING: Police have confirmed that the #SydneySiege is over. #9News” thank god thank god thank you thank you thank you
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,@9NewsSyd THANKS GOD
#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7,@AFPphoto I strongly condemn this terrorist attack as a Turkish Muslim.I love my Prophet.But my Prophet rejects terrorism.
#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7,Oh my God !!! RT @AFPphoto  #CharlieHebdo - 11 dead including 2 police in Paris shooting. http://t.co/tzgCctKshB
#CharlieHebdo killers shot dead by police,@JaySnayk @DAVIDMDRAIMAN @cnni YOU LEFT OUT INTERNATIONAL!
#CharlieHebdo killers shot dead by police,@KayBurley Great news! 😄
#CharlieHebdo killers shot dead by police,@KayBurley best news for days. Goodbye scumbags.
#CharlieHebdo killers shot dead by police,@KayBurley they got what they wanted :( but perhaps for the best
#CharlieHebdo killers shot dead by police,@KayBurley rot in hell.....
#CharlieHebdo killers shot dead by police,"@KayBurley hurrah, hell awaits 👹👺"
#CharlieHebdo killers shot dead by police,"@KayBurley No confirmation yet, but hopefully good news"
#CharlieHebdo killers shot dead by police,@KayBurley best News possible all things considered
#CharlieHebdo killers shot dead by police,@KayBurley Good - 2 less to worry about. Hope the Hostages are all OK!
#CharlieHebdo killers shot dead by police,@KayBurley @dublinrecruiter great work gsg9 and s/ forces teams.
#CharlieHebdo killers shot dead by police,"@KayBurley Thinking of the hostages. To hell with the terrorists, they should burn on the street, absolute scum."
#CharlieHebdo killers shot dead by police,@KayBurley Good News at last Evil Pigs !!!!
#CharlieHebdo killers shot dead by police,@KayBurley Just practice for what coming Im afraid Europe is heading for a war
#CharlieHebdo killers shot dead by police,@KayBurley great news
#CharlieHebdo killers shot dead by police,@KayBurley great news great reporting Kay one of the best in the business
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,'As dogs' @RT_com
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,@RT_com Why are they running? Coward.!
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,@RT_com die like cowards #scum
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,@RT_com then kill these bastards
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,"@ecmagenda @RT_com  
Dogs are waaaaay better than these bastards"
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,@RT_com @Firetrench Try and arrest them first so they can be put in jail to rot. A much better end for them. They'll end up as homosexual.
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,"@RT_com dying in  the business of killing people is the basis for martydom?
#CharlieHebdo"
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,@RT_com who gave them thinking of martyr? Those continually hurting Muslims by their irrespective behavior for Messenger of God.
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,@RT_com then make it so
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,"@RT_com don't kill them! If they get killed i wana see their faces! Don't want another Bin laden incident, do we!"
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A","@RT_com This is a fair revenge! French planes with impunity in Afghanistan, Syria, Libya and Iraq!"
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A","“@RT_com: #CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack"" Now that's tolerance for you"
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com Did the Gunman knew that he will rot in Hell for this ?
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com @SpringboroTea http://t.co/5NjSg1pBSi
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com this is messed up
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com cc @MorbidEntree
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A","@RT_com Must be a very weak god, that Mohammad that it uses these beasts for revenge for humor, which only brings shame and disgust apon it"
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com so sad.
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com its a trap....conspiracy against Islam...cant say no more...
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com pussies
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com Many religions started in mid east.It indicates peoples with no sense of humor.Leave them alone.
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU","@BBCBreaking No martyrs there, just cowards."
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU",@BBCBreaking I think you mean morons.
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU",@BBCBreaking Good! Kill 'em and quickly! The 144 are getting frustrated beyond belief waiting for them both!
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU","@BBCBreaking They should tell them, no you'll just die as murderers, not martyrs"
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU","@TrudiCTID Agreed. Relevant and timely clarification: martyrs are assassinated, they're not the assassins."
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU","@bbcbreaking I don't think these type of Muslims know what the word ""martyr"" means."
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU",@JamesEsqLtd brainwashed!!
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU","@BBCBreaking Just kill them. Nothing to see here, only cowards. Nothing lost."
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU",@BBCBreaking stop saying this every 2 minutes ur gloryfyinh it... NO! They will die kicking and screaming the cowards they are not heros
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU",@BBCBreaking @FCN2go
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU",@BBCBreaking no - set them free in the streets of Paris &amp; give them a 30 second head start.
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU",.@BBCBreaking I hope they get their wish... @oliverdarcy
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU","@Wend999 @BBCBreaking 
Punk Cowards"
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,"@TPM @AzmatZahra Wouldn't you have thought after widely publicized abuses by LAPD and CPD, that departments everywhere else would learn??"
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,"@LisaBloom @ZerlinaMaxwell For that reason precisely, media should refrain from connecting the two. Stay with the shooting story."
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,"@LisaBloom that's unfortunate. signed, ferguson PD"
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@LisaBloom you know the cop didnt have to know about robbery for this video to have value. you're not very good at being stupid.
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@LisaBloom @lawalazu  it's about changing the narrative.
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@RobKCorbettEsq @LisaBloom And it is down right disrespectful to the young man and his family.
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@LisaBloom #MikeBrown connects the robbery w shooting. dont have to be a genius. a guy who shoves clerk is s'posed to raise his hands later?
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@LisaBloom  stranger by the second
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@LisaBloom @Pixelfish #IMMORTALCONSCIOUSNESS https://t.co/f1mezwr58r
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@LisaBloom I want to believe its total incompetence.  But its was all on purpose to change public opinion.  My guess is it will continue
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,"@LisaBloom he didn't say he didn't know about the robbery, it went out over radio, he said he didn't know #MikeBrown was a suspect"
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@veggietrunks @leonlohr @LisaBloom it prevented future crimes by #MikeBrown
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@veggietrunks @LisaBloom not necessarily. but it might show a particular disposition towards authority figures.
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,"@veggietrunks @LisaBloom sad that happened to you. no doubt there are racist/ignorant cops. but not all, maybe not #Ferguson"
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2",“@thelittleidiot: to be clear: an unarmed teenager. I guess you were witness to the altercation between the cop &amp; the suspect if not shut it
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2",@SoulRevision after they beat him.
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2",@SoulRevision smmmmmhhhh
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2","@SoulRevision My God, this dude looks like he deserved a touch up. Push his face in dough and make some gorilla cookies. Prolly in jail now."
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2",@Jamesdacc @SoulRevision I see. These guys are like the 3 Stooges
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2","“@SoulRevision: #Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/s5C5MKOjbE"
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2",@SoulRevision Yaaay you got Police Dept.
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2",@SoulRevision @jaykelly26 Thats because their SKANKERS
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,@WSJ that's big
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,@WSJ Mike thought the coppers were on to him so he tried to assault the officer to get away. #shame..
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,@WSJ #HandsUpDontShoot hashtavists still don't know his hands were up.
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,@tabster_1 @WSJ I asked the guy at the airport. Why did you chose me for a search? He said it was random. I did not buy that.
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,“@WSJ: #Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect. http://t.co/QnHjIqXGlq”still ridic😠
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,"@WSJ Hi, like, please) http://t.co/f3wlkSzHfg"
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,@WSJ and Brown wasn't aware that the cop was unaware of the violent robbery Brown had just committed.
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,@WSJ I am sure Cops go to work thinking what black kid can I shoot today and cause riots and Al Sharpton to speak again ..SMH
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,"@WSJ NOTE TO SELF: Actions of committing amy crime, no matter how misqal may justify my death to some, regardless to how unwarranted."
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,@LoraineLawson @WSJ Go Back To Sleep Loraine!!!
"#Germanwings ""sorry to confirm"" 144 passengers &amp; 6 crew on board flight #4U9525 when it crashed in French Alps http://t.co/inQlKOqZup",@foxandfriends this may be the plain in control. Are in this case out of control.  They fly themselves #prayforfamily's
"#Germanwings ""sorry to confirm"" 144 passengers &amp; 6 crew on board flight #4U9525 when it crashed in French Alps http://t.co/inQlKOqZup",@BBCBreaking May they RIP.. So many planes crashing! What's going on??
